Location,Site,PitID,Date/Local Time,UTM Zone,Easting (m),Northing (m),Density A Mean (kg/m^3),Density B Mean (kg/m^3),Density Mean (kg/m^3),SWE A (mm),SWE B (mm),SWE Mean (mm),Snow Depth (cm)
Grand Mesa,3N22,COGM3N22_20200128,2020-01-28T13:55,12N,743509,4324117,256.80,260.60,258.70,256.80,260.60,258.70,100
Grand Mesa,3N26,COGM3N26_20200208,2020-02-08T13:25,12N,743728,4324258,301.83,295.41,298.62,322.96,316.09,319.53,107
Grand Mesa,3N53,COGM3N53_20200128,2020-01-28T15:31,12N,747302,4323917,267.75,261.17,264.46,294.52,287.29,290.91,110
Grand Mesa,3S14,COGM3S14_20200201,2020-02-01T13:20,12N,743652,4322680,282.41,286.58,284.50,290.88,295.18,293.03,103
Grand Mesa,3S33,COGM3S33_20200204,2020-02-04T11:24,12N,745529,4322471,299.97,291.29,295.63,305.97,297.12,301.54,102
Grand Mesa,3S38,COGM3S38_20200201,2020-02-01T11:18,12N,746149,4322488,283.00,285.17,284.08,305.64,307.98,306.81,108
Grand Mesa,3S47,COGM3S47_20200129,2020-01-29T12:56,12N,747487,4322259,251.08,246.86,248.97,256.10,251.80,253.95,102
Grand Mesa,3S52,COGM3S52_20200204,2020-02-04T14:43,12N,748777,4322533,274.63,268.57,271.60,274.63,268.57,271.60,100
Grand Mesa,3S5,COGM3S5_20200129,2020-01-29T12:10,12N,742531,4322632,296.85,289.72,293.29,320.60,312.90,316.75,108
Grand Mesa,4C30,COGM4C30_20200131,2020-01-31T11:00,12N,744862,4323250,253.62,252.10,252.86,263.76,262.18,262.97,104
Grand Mesa,4N27,COGM4N27_20200130,2020-01-30T09:14,12N,743817,4324185,288.94,289.22,289.08,309.17,309.47,309.32,107
Grand Mesa,4N2,COGM4N2_20200128,2020-01-28T09:15,12N,740541,4324500,240.92,235.92,238.42,183.10,179.30,181.20,76
Grand Mesa,5C20,COGM5C20_20200130,2020-01-30T09:15,12N,743402,4324736,248.41,248.48,248.45,278.22,278.30,278.26,112
Grand Mesa,5C21,COGM5C21_20200130,2020-01-30T09:20,12N,743884,4324477,269.00,266.78,267.89,242.10,240.10,241.10,90
Grand Mesa,5C27,COGM5C27_20200209,2020-02-09T10:35,12N,744668,4323404,279.29,279.14,279.22,273.70,273.56,273.63,98
Grand Mesa,5N10,COGM5N10_20200128,2020-01-28T15:05,12N,742378,4324184,243.47,243.00,243.24,206.95,206.55,206.75,85
Grand Mesa,5N10,COGM5N10_20200210,2020-02-10T12:57,12N,742375,4324185,258.63,257.78,258.21,261.22,260.36,260.79,101
Grand Mesa,5N11,COGM5N11_20200210,2020-02-10T14:37,12N,742378,4324465,298.45,305.08,301.77,292.48,298.98,295.73,98
Grand Mesa,5N15,COGM5N15_20200206,2020-02-06T11:11,12N,743059,4324276,289.50,286.93,288.21,327.13,324.23,325.68,113
Grand Mesa,5N19,COGM5N19_20200128,2020-01-28T11:27,12N,743219,4324260,249.45,249.82,249.64,254.44,254.82,254.63,102
Grand Mesa,5N24,COGM5N24_20200212,2020-02-12T13:45,12N,743604,4324202,309.13,309.85,309.49,327.68,328.44,328.06,106
Grand Mesa,5N32,COGM5N32_20200212,2020-02-12T12:57,12N,744824,4323962,297.98,310.98,304.48,303.94,317.20,310.57,102
Grand Mesa,5N41,COGM5N41_20200130,2020-01-30T15:16,12N,745598,4323988,249.76,249.65,249.71,229.78,229.68,229.73,92
Grand Mesa,5N50,COGM5N50_20200201,2020-02-01T13:40,12N,747055,4323916,240.24,243.12,241.68,197.00,199.36,198.18,82
Grand Mesa,5S21,COGM5S21_20200201,2020-02-01T14:30,12N,744561,4322721,266.00,264.18,265.09,292.60,290.60,291.60,110
Grand Mesa,5S24,COGM5S24_20200129,2020-01-29T10:25,12N,745093,4322617,258.39,260.42,259.41,250.64,252.61,251.63,97
